STUDY_ID,CENT_LAT,CENT_LONG,TITLE,BIOME_MAP,CLIMATE,REALM,TAXA,Duration,CONTACT_1,CONTACT_2,sites_n
292,-25.212197,135.825419,CSIRO Marine Data Warehouse (OBIS Australia),Multiple ecoregions,Temperate/Tropical,Marine,Fish,18,Tony Rees,NA,1728
294,21.0833,105.1,Tam Dao Butterfly communities,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Invertebrates,11,Timothy C Bonebrake,Lie Van Vu,1
295,-33.051303,139.183766,Systematic global assessment of reef fish communities by the Reef Life Survey program,Temperate shelf and seas ecoregions,Temperate,Marine,Fish,9,Graham Edgar,Rick Stuart-Smith,127
296,-33.051303,139.183766,Systematic global assessment of reef fish communities by the Reef Life Survey program,Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,9,Graham Edgar,Rick Stuart-Smith,127
297,-17.524634,-149.837295,MCR LTERCoral Reef Long-term Population and Community Dynamics Other Benthic Invertebrates. ongoing since 2005,Tropical coral,Tropical,Marine,Invertebrates,18,Information Manager,Robert Carpenter (owner),6
298,38.8,-99.3,Long-term mapped quadrats from Kansas prairie demographic information for herbaceaous plants,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Plants,70,Peter B Adler,NA,1
299,42.77,10.3,Elba Island Butterflies,"Mediterranean forests, woodlands and scrubs",Temperate,Terrestrial,Invertebrates,101,Leonardo Dapporto,NA,1
300,42.408852,-85.383181,Insect Populations via Sticky Traps at KBS-LTER (Kellogg Biological Station. MI),Temperate broadleaf and mixed forests,Temperate,Terrestrial,Invertebrates,25,Doug Landis,Stuart Gage,255
301,39.081015,-96.582771,Konza Prarie grasshoppers -  CGR022,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Invertebrates,37,Ellen Welti,Anthony Joern,14
302,-22.379,-49.6803,Patterns and processes affecting the dynamics and structure of seasonally semideciduous forests in SE Brazil(Padroes e processos que influenciam a dinamica e a estrutura das Florestas Estacionais Semideciduais SE Brasil),Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,10,Tiago Egydio Barreto,"Ricardo Rodrigues, Renato Augusto Ferreira de Lima and Thiago Almeida Bueno",1
303,-27.859716,-50.194287,The influence of environmental variables on tree species component dynamics in a montane forest fragment in Lages SC Brazil Influencia de variaveis ambientais na dinamica do componente arboreo em um fragmento de Floresta Ombrofila Mista em Lages SC,Tropical and subtropical moist broadleaf forests,Temperate/Tropical,Terrestrial,Plants,9,Pedro Higuchi,Ana Carolina da Silva,50
304,-34.27063,18.423828,Cape of Good Hope Permanent Plots,"Mediterranean forests, woodlands and scrubs",Temperate,Terrestrial,Plants,31,Jasper Slingsby,NA,63
305,35,-83.5,Population estimates of Appalachian salamanders. Coweeta LTER,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Amphibians,15,R Haven Wiley,NA,1
306,42.457,-83.946,Edwin S. George Reserve Turtles. The Global Population Dynamics Database Version 2,Small lake ecosystems,Temperate,Freshwater,Reptiles,18,Barry Brook,NA,1
307,42.40885,-85.38318,Kellogg LTER seed bank,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,10,Sven Bohm,Kay Gross,1
308,40.17074,-79.26018,Long Term Mammal Data from Powdermill Biological Station 1979-1999,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Mammals,21,Joseph F Merritt,NA,1
310,12.696601,-29.903677,Marine microplankton diversity database,Multiple ecoregions,Temperate/Tropical,Marine,Invertebrates,11,Sofia Sal,Sofia Sal Brequa,293
311,39.083333,-96.583333,Seasonal summary of numbers of small mammals on 14 LTER traplines in prairie habitats at Konza Prairie,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Mammals,33,Donald W. Kaufman,NA,1
312,3.5,35.75,Stability in a Multi-Species Assemblage of Large Herbivores in East Africa,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Mammals,26,Herbert Henri Theodore Prins,NA,1
313,45.4,-93.2,Successional Dynamics on a Resampled Chronosequence Core Old Field Grasshopper Sampling,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Invertebrates,18,Knops Johannes,Tilman David,1
314,45.4,-93.2,Successional Dynamics on a Resampled Chronosequence Small mammal abundance,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Mammals,3,Knops Johannes,Tilman David,1
315,32.62,-106.74,Jornada Grasshopper Data,Deserts and xeric shrublands,Temperate,Terrestrial,Invertebrates,3,John Anderson,David Lightfoor,1
316,32.62,-106.74,Lizard pitfall trap data (LTER-II LTER-III),Deserts and xeric shrublands,Temperate,Terrestrial,Reptiles,18,John Anderson,David Lightfoot,1
317,25.336,-80.855667,Mangrove Forest Growth from the Shark River Slough Everglades National Park (FCE) South Florida from January 1995 to Present,Flooded grasslands and savannas,Temperate,Terrestrial,Plants,11,Robert ATwilley,Victor Rivera-Monroy,4
319,37.25,-96.71666,Effects of rangeland management on community dynamics of herpetofauna to the tallgrass prairie,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Multiple,15,Dustin J. Wilgers,NA,1
321,32.550335,-106.811564,Small Mammal Exclosure Study. Jornada LTER.  SMES rodent trapping data,Deserts and xeric shrublands,Temperate,Terrestrial,Mammals,13,Robert Schooley,NA,766
322,-22.825,-47.1058,Forest destructuring as revealed by the temporal dynamics of fundamental species - Case study of Santa Genebra Forest in Brazil,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,22,Fabiano Turini Farah,"Ricardo Rodrigues, Renato Augusto Ferreira de Lima and Thiago Almeida Bueno",1
323,18.3176,-65.7824,The Response of Anolis Lizards to Hurricane-Induced Habitat Changes in a Puerto Rican Rain Forest.,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Reptiles,4,Douglas Reagan,NA,1
324,-15.822694,-48.994368,Temporal evaluation of natural regeneration in a semi-deciduous forest in Pirenopolis. Goias. Brazil,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Plants,5,Fabio Venturoli,NA,1
325,-15.822694,-48.994368,Temporal evaluation of natural regeneration in a semi-deciduous forest in Pirenopolis. Goias. Brazil,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Plants,5,Fabio Venturoli,NA,1
326,-15.822694,-48.994368,Temporal evaluation of natural regeneration in a semi-deciduous forest in Pirenopolis. Goias. Brazil,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Plants,5,Fabio Venturoli,NA,1
327,-30.6,-71.7,Fray Jorge Small Mammals 1989-2005,"Mediterranean forests, woodlands and scrubs",Temperate,Terrestrial,Mammals,17,Douglas A. Kelt,NA,1
328,32.26,-81.63,The Rainbow Bay Long-term Study,Small river ecosystems,Temperate,Freshwater,Amphibians,30,David Scott,NA,1
329,12.5375,75.662778,Twenty years tree demography in an undisturbed Dipterocarp permanent sample plot at Uppangala Western Ghats of India,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,21,N. Ayyappan,NA,1
330,-14.28593,138.9719,The Australian Zooplankton Database (Project ID 1): PhD; zooplankton abundance in Gulf of Carpentaria,Multiple,Tropical,Marine,Invertebrates,3,Claire Davies,Anthony Richardson,23
332,35.0589,-83.4319,Stream Fish Assemblage stability in a southern Appalachian stream (Coweeta Hydro Lab 1984 - 1995),Small river ecosystems,Temperate,Freshwater,Fish,12,Gary D Grossman,NA,1
333,39.083333,-96.58333,Weekly record of bird species observed on Konza Prairie,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Birds,29,JMB,J Briggs,1
334,68.62964,-149.5757,"Above ground plant biomass in a mesic acidic tussock tundra experimental site from 1982 to 2015 Arctic LTER, Toolik Lake, Alaska",Tundra,Polar,Terrestrial,Plants,19,Gaius Shaver,Arctic LTER Data Manager,1
335,39.5622,-87.40389,Stochasticity in structural and functional characteristics of an Indiana stream fish assemblage  a test of community theory,Small river ecosystems,Temperate,Freshwater,Fish,13,Gary D Grossman,NA,1
336,31.938889,-109.0797,Long term monitoring and experimental manipulation of a Chihuahuan Desert ecosystem near Portal Arizona,Deserts and xeric shrublands,Temperate,Terrestrial,Plants,14,Morgan Ernest,Tom Valone,1
337,44.25,-72.1875,Mountain Birdwatch ,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Birds,11,John D. Lloyd,Kent P. McFarland,1
338,38,-123,Dynamics and Organization of a Rocky Intertidal Fish Assemblage,Temperate shelf and seas ecoregions,Temperate,Marine,Fish,3,Gary D Grossman,NA,1
339,55.71667,13.33333,Species trends turnover and composition of a woodland bird community in southern Sweden during a period of 57 years.,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Birds,57,Soren Svensson,NA,1
340,34.314587,-106.831521,"Small Mammal Exclosure Study (SMES) Vegetation Data from the Chihuahuan Desert Grassland and Shrubland at the Sevilleta National Wildlife Refuge, New Mexico (1995-2009)",ECOREGIONS,Tropical,Terrestrial,Plants,15,David Lightfoot,NA,2
341,-24.034938,-47.02509,Brazil Dataset 1,Tropical and subtropical moist broadleaf forests,Temperate/Tropical,Terrestrial,Amphibians,3,Fernando Rodrigues da Silva,NA,41
342,-22.7011,-50.5172,Brazil Dataset 2,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Plants,19,Giselda Durigan,NA,1
343,-22.02335,-49.9178,Brazil Dataset 3,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,18,Giselda Durigan,NA,2
344,-22.5972,-50.3689,Brazil Dataset 4,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Plants,13,Giselda Durigan,NA,1
345,-22.6089,-50.3953,Brazil Dataset 5,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Plants,13,Giselda Durigan,NA,1
346,-22.593,-50.3786,Monitoring experiences at the Atlantic rainforest biome using permanent plots.,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Plants,10,Carolina Mathias Moreira,"Ana Paula Savassi-Coutinho Giselda Durigan Vincius Castro Souza Natlia Macedo Ivanauskas Ricardo Ribeiro Rodrigues, Renato Augusto Ferreira de Lima and Thiago Almeida Bueno",1
347,-20.288802,-40.323011,Zooplankton community of the Vitoria Bay estuarine system (southeastern Brazil). Characterization during a three-year study,Tropical seas,Tropical,Marine,Invertebrates,3,Jose Mauro Sterza,Luiz Loureiro Fernandes,10
348,-28.6089,-48.98125,Bats (Mammalia Chiroptera) in restinga in the municipality of Jaguaruna south of Santa Catarina Brazil. ,Tropical and subtropical moist broadleaf forests,Temperate/Tropical,Terrestrial,Mammals,11,Fernando Carvalho,Fernando Carvalho,2
349,34.91799,-123.025626,St. M polychaete species time-series,Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,21,Claire Laguionie-Marchais,Henry Ruhl,21
350,49,-16.5,Megafauna PAP time series,Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,23,Claire Laguionie-Marchais,Henry Ruhl,1
351,34.833333,-123,Megafauna Sta M time series,Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,16,Claire Laguionie-Marchais,Henry Ruhl,1
352,-2,-75,Flooded forest plot sampling in Peru,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,4,Randall W. Myster,NA,1
353,1.1558,-77.9935,La Planada Forest Dynamics Plots,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,7,Natalia Norden Medina,NA,1
354,-45.7706,139.778809,The Australian Phytoplankton Database (1844 - ongoing): IMOS Australian Continuous Plankton Recorder Survey,Temperate Shelf and seas ecoregions,Polar/Temperate,Marine,Invertebrates,10,Claire Davies,Anthony Richardson,4069
355,39.083333,-96.58333,Plant Species Composition on Selected Watersheds at Konza Prairie,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Plants,33,David C. Hartnett,Scott L. Collins,1
356,-17.03808,145.561207,Long-term stem inventory data from tropical rain forest plots in Australia,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Plants,43,Matt Bradford,Dan Metcalfe,20
357,40.82889,-104.7582,Small Mammal Trapping Webs on the Central Plains Experimental Range,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Mammals,13,Paul Stapp,NA,1
358,31.58333,-94.81666,Neotropical Migratory Bird Communities in a Developing Pine Plantation,Temperate coniferous forest,Temperate,Terrestrial,Birds,16,H Williamson,NA,1
359,34.308906,-119.874156,SBC LTER Reef Kelp Forest Community Dynamics Fish abundance,Temperate shelf and seas ecoregions,Temperate,Marine,Fish,13,Santa Barbara Coastal LTER,Daniel C Reed,9
360,52.716667,24.26666,Bialowieza National Park bird assemblage,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Birds,40,Tomasz Wesolowski,NA,1
361,38.61,-79.83472,A long-term bird population study in an Appalachian spruce forest,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Birds,22,JSTOR,NA,1
362,0.389236,36.891566,Plant and small-mammal responses to large-herbivore exclusion in an African savanna,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Mammals,4,Tyler R. Kartzinel,NA,81
363,65.968055,16.31666,The 37-year dynamics of a subalpine bird community with special emphasis on the influence of environmental temperature and Epirrita autumnata cycles. ,Tundra,Temperate,Terrestrial,Birds,37,Anders Enemar,NA,1
364,38.901,-77.069,Long-term reductions in anthropogenic nutrients link to improvements in Chesapeake Bay habitat,Large river ecosystems,Temperate,Freshwater,Plants,18,Nancy Rybicki,Henry Ruhl,1
365,-37.256487,176.325134,Hahei marine dataset (1997-2002),Temperate shelf and seas ecoregions,Temperate,Marine,Fish,6,Trevor Willis,NA,120
366,34.35,-106.88,Small Mammal Exclosure Study (SMES),Deserts and xeric shrublands,Temperate,Terrestrial,Mammals,25,David Lightfoot,NA,1
367,34.058009,134.978473,Monitoring site 1000 Coastal zone research - Tidal flat survey,Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,6,Nature Conservation Bureau Ministry of the Environment Centre for Biodiversity,NPO Japan Wetlands International,444
368,35.3789,136.0966,Monitoring site 1000 Land waters research- Lakes benthic animal research,Small lake ecosystems,Temperate,Freshwater,Invertebrates,2,Ecosystem monitoring department and maintenance department. Nature Conservation Bureau Ministry of the Environment Biodiversity Center,NPO Japan Wetlands International,1
369,36.1471,136.768267,Monitoring site 1000 Alpine research - Surface wandering beetles,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Invertebrates,6,General Foundation Natural Environment Research Center monitoring site 1000 alpine zone personnel,Nature Conservation Bureau Ministry of the Environment Biodiversity Center Contact: ecosystem monitoring Department,3
370,36.700797,137.260754,Monitoring site 1000 coastal zone research - Algae survey permanent quadrats,Temperate shelf and seas ecoregions,Temperate,Marine,Plants,7,Ecosystem monitoring department and maintenance department. Nature Conservation Bureau Ministry of the Environment Biodiversity Center,NPO Japan Wetlands International,6
371,36.7054,137.264584,Monitoring site 1000 coastal zone research - Algae survey transects,Temperate shelf and seas ecoregions,Temperate,Marine,Plants,7,Ecosystem monitoring department and maintenance department. Nature Conservation Bureau Ministry of the Environment Biodiversity Center,NPO Japan Wetlands International,6
372,34.952002,134.975315,Monitoring site 1000 Village survey - Bird survey data,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Birds,9,Shinichi Takagawa Nana Goto - Mayuko Fukuda,Ecosystem Monitoring Department,86
373,37.071487,137.151876,Village survey Medium and large mammal survey data,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Mammals,8,Shinichi Takagawa Nana Goto - Mayuko Fukuda,Ecosystem Monitoring Department,31
374,35.961249,136.046062,Monitoring site 1000 Shorebird Survey,Temperate shelf and seas ecoregions,Temperate,Marine,Birds,11,Ecosystem monitoring department and maintenance department. Nature Conservation Bureau Ministry of the Environment Biodiversity Center,NA,143
375,36.244891,136.90659,Surface of the earth wandering beetles survey data,Temperate coniferous forest,Temperate,Terrestrial,Invertebrates,11,Niwa Ci,Sukigara Naozumi - Hatase Yoriko,32
376,35.934682,135.739751,Monitoring site 1000 forest and grassland research - Bird survey data -1st phase,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Birds,5,Foundation Wild Bird Society of Japan nature protection room charge : Hayama politics,Nature Conservation Bureau Ministry of the Environment Biodiversity Center Contact: ecosystem monitoring Departmen,316
377,33.557627,136.450872,Monitoring site 1000 forest and grassland research - Bird survey data -2nd phase,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Birds,6,Foundation Wild Bird Society of Japan nature protection room charge : Hayama politics,Nature Conservation Bureau Ministry of the Environment Biodiversity Center Contact: ecosystem monitoring Departmen,437
378,43.469365,10.335963,Calafuria Mid-shore Intertidal Dataset (1991-2014),Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,16,Lisandro Benedetti Cecchi,NA,1
379,43.469365,10.335963,Calafuria Low-shore Intertidal Dataset (1991-2014),Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,24,Lisandro Benedetti Cecchi,NA,1
380,50.8463,0.0552,Monitoring butterfly numbers,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Invertebrates,10,GPDD,NA,1
381,-31.9333,115.7666,Long-term sampling of a herpetofaunal assemblage on an isolated urban bushland,"Mediterranean forests, woodlands and scrubs",Temperate,Terrestrial,Multiple,7,R A How,NA,1
382,47.833333,-91.833333,Small Mammals and Vegetation Changes After Fire in a Mixed Conifer-Hardwood Forest,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Mammals,13,Contact at GPDD,NA,1
383,48.977608,13.810909,Boubin,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,39,Tomas Vrska,Kamil Kral,1
384,48.655242,16.94116,Cahnov-Soutok,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,34,Tomas Vrska,Kamil Kral,1
385,48.984705,13.838607,Milesice,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,40,Tomas Vrska,Kamil Kral,1
386,49.53636,18.660275,Mionsi-V,Temperate coniferous forest,Temperate,Terrestrial,Plants,16,Tomas Vrska,Kamil Kral,1
387,49.537746,18.661169,Mionsi-R,Temperate coniferous forest,Temperate,Terrestrial,Plants,52,Tomas Vrska,Kamil Kral,1
388,49.53611,18.654525,Mionsi-C,Temperate coniferous forest,Temperate,Terrestrial,Plants,58,Tomas Vrska,Kamil Kral,1
389,48.678817,16.948159,Ranspurk,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,34,Tomas Vrska,Kamil Kral,1
390,49.359792,18.381938,Razula,Temperate coniferous forest,Temperate,Terrestrial,Plants,38,Tomas Vrska,Kamil Kral,1
391,49.401878,18.419515,Salajka,Temperate coniferous forest,Temperate,Terrestrial,Plants,34,Tomas Vrska,Kamil Kral,1
392,48.879723,13.835815,Stozec,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,40,Tomas Vrska,Kamil Kral,1
393,49.989616,13.803386,Velka Ples,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,38,Tomas Vrska,Kamil Kral,1
394,49.65469,15.990502,Zakova hora,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,38,Tomas Vrska,Kamil Kral,1
395,48.666586,14.706818,Zofin,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,34,Tomas Vrska,Kamil Kral,1
396,49.955324,14.153373,Doutnac,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,11,Tomas Vrska,Kamil Kral,1
397,50.861831,15.153149,Polednik,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,9,Tomas Vrska,Kamil Kral,1
398,49.789846,15.752199,Polom,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,23,Tomas Vrska,Kamil Kral,1
399,49.313245,15.522922,V Kluci,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,28,Tomas Vrska,Kamil Kral,1
400,50.236585,14.562981,Jirina,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,22,Tomas Vrska,Kamil Kral,1
401,49.922466,13.77211,Kohoutov,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,21,Tomas Vrska,Kamil Kral,1
402,-22.047737,-53.824809,Brazil Dataset 6,Large river headwater ecosystems,Tropical,Freshwater,Fish,6,Yzel Rondon Suarez,NA,7
403,-21.1833,-49.7,Community ecology of anura amphibia at Northwest region of Sao Paulo state,Small lake ecosystems,Tropical,Freshwater,Amphibians,7,Denise de Cerqueira Rossa-Feres,NA,1
404,-22.2353,-47.8847,Brazil Dataset 7,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Plants,3,Gabriella Damasceno,Alessandra Fidelis,1
405,-10.205349,-46.557498,Brazil Dataset 8,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Plants,3,Alessandra Fidelis,NA,5
406,-30.05,-51.1167,Short-term changes caused by fire and mowing in Brazilian Campos grasslands with different long-term fire histories,"Tropical and subtropical grasslands, savannas and shrublands",Temperate,Terrestrial,Plants,3,Alessandra Fidelis,NA,1
407,-31.320566,-71.422368,Conicyt-Fondecyt Fish Data,Temperate shelf and seas ecoregions,Temperate,Marine,Fish,2,Alejandro Perez Matus,Catalina Sallen,2
408,-31.415949,-71.558923,Conicyt-Fondecyt Turf Algae Data,Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,2,Alejandro Perez Matus,Catalina Sallen,6
409,-31.415949,-71.558923,Conicyt-Fondecyt Fish Data,Temperate shelf and seas ecoregions,Temperate,Marine,Fish,2,Alejandro Perez Matus,Catalina Sallen,5
412,25.041666,121.941667,Icthyoplankton data collected from Yenliao Bay in 6 stations northeast of Taiwan (1995-2000),Tropical seas,Temperate,Marine,Fish,6,Chih-hao Hsieh (Zac),NA,6
413,39.98333,-88.65,Bird populations in east central Illinois. Fluctuations variations and development over a half-century,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Birds,50,Author now deceased,NA,1
414,39.98333,-88.65,Bird populations in east central Illinois. Fluctuations variations and development over a half-century,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Birds,53,Author now deceased,NA,1
415,40.13333,-88.3,Bird populations in east central Illinois. Fluctuations variations and development over a half-century,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Birds,19,Author now deceased,NA,1
416,40.13333,-88.3,Bird populations in east central Illinois. Fluctuations variations and development over a half-century,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Birds,26,Author now deceased,NA,1
419,-64.77,-64.05,Data collected aboard cruises off the coast of the Western Antarctic Penninsula,Polar ecoregions,Temperate,Marine,Birds,19,William R Fraser,NA,1
420,67.077,17.435,Species composition and population fluctuations of alpine bird communities during 38 years in the Scandinavian mountain range,Tundra,Polar/Temperate,Terrestrial,Birds,38,Soren Svensson,NA,2
421,40.023146,-105.222787,Boulder County Open Space butterfly diversity and abundance,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Invertebrates,2,Jeffrey C. Oliver,Kathleen L. Prudic,66
422,38.499063,139.313358,Monitoring site 1000 Alpine research - Butterfly Survey,Temperate coniferous forest,Temperate,Terrestrial,Invertebrates,6,General Foundation Natural Environment Research Center monitoring site 1000 alpine zone personnel,Nature Conservation Bureau Ministry of the Environment Biodiversity Center Contact: ecosystem monitoring Department,6
423,38.507828,139.329424,Monitoring site 1000 Alpine research - Butterfly Survey,Temperate coniferous forest,Temperate,Terrestrial,Invertebrates,6,General Foundation Natural Environment Research Center monitoring site 1000 alpine zone personnel,Nature Conservation Bureau Ministry of the Environment Biodiversity Center Contact: ecosystem monitoring Department,12
424,40.990168,141.042378,Monitoring site 1000 Alpine research - Bumblebee Survey,Temperate coniferous forest,Temperate,Terrestrial,Invertebrates,5,Nature Conservation Bureau Ministry of the Environment Centre for Biodiversity Contact: ecosystem monitoring Department,NA,8
425,29.188063,-83.279223,Faunal communities and habitat characteristics of the Big Bend seagrass meadows 2009Ã¢â‚¬â€œ2010,Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,2,Christopher D Stallings,NA,169
426,47.33,8.56,Phytoplankton time series from Lake Zurich,Small lake ecosystems,Temperate,Freshwater,Invertebrates,35,Francesco Pomati,NA,1
427,47.33,8.56,Zooplankton time series from Lake Zurich,Small lake ecosystems,Temperate,Freshwater,Invertebrates,32,Francesco Pomati,NA,1
428,58.95856,9.768152,Long term monitoring of fish abundances from coastal SKagerrak,Temperate shelf and seas ecoregions,Temperate,Marine,Multiple,97,Halvor Knutsen,Ebsen Moland,200
429,-18.83591,146.6536,Scleractinian corals from Orpheus and Magnetic Islands 2013 to 2020,Tropical Coral,Tropical,Marine,Invertebrates,8,Chao-Yang Kuo,Andrew Baird,8
430,-40.942837,172.499296,The New Zealand Freshwater Fish Database - Electric fishing - Backpack,Small river ecosystems,Temperate,Freshwater,Fish,32,Freshwater Fish Database administrator,NIWA,8984
431,-40.633637,172.449936,The New Zealand Freshwater Fish Database - Traps- Gee Minnow traps,Small river ecosystems,Temperate,Freshwater,Fish,33,Freshwater Fish Database administrator,NIWA,2059
432,-40.492606,172.715575,The New Zealand Freshwater Fish Database - Observation (Spotlighting visual),Small river ecosystems,Temperate,Freshwater,Fish,19,Freshwater Fish Database administrator,NIWA,1291
433,68.631732,-149.384327,Zooplankton density for lake samples collected near Toolik Lake Arctic LTER in the summers (1983-1992 & 1993-2002),Small lake ecosystems,Polar,Freshwater,Invertebrates,20,Phaedra Budy,NA,32
434,-77.665463,162.710435,Summer Phytoplankton Densities 1992-2001,Small lake ecosystems,Polar,Freshwater,Invertebrates,10,Diane McKnight,John Priscu,4
435,-66.96709,-70.36026,"Zooplankton collected with a 2-m, 700-um net towed from surface to 120 m, aboard Palmer Station Antarctica LTER annual cruises off the western Antarctic peninsula, 2009 - 2020",Polar Ecoregions,Polar/Temperate,Marine,Multiple,12,Palmer Station Antarctica LTER,Debbie Steinberg,333
436,-5.819316,110.362535,Karimunjawa WCS fish survey,Tropical coral,Tropical,Marine,Fish,8,Andrew Hoey,NA,43
437,5.753012,95.279879,Aceh WCS fish survey 2010 to 2016,Tropical coral,Tropical,Marine,Fish,7,Andrew Hoey,NA,16
438,5.764892,95.219244,Aceh WCS fish surveys,Tropical coral,Tropical,Marine,Fish,9,Andrew Hoey,NA,29
439,54.504083,60.293995,Long-term dynamics of bird populations in pine forests of Ilmen Nature Reserve during the breeding period individuals / km2,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Birds,13,Roberto Cazzolla Gatti,NA,1
440,54.504083,60.293995,Long-term dynamics of bird populations in pine-birch forests of Ilmen Nature Reserve during the breeding period individuals / km2,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Birds,13,Roberto Cazzolla Gatti,NA,1
441,54.504083,60.293995,Long-term dynamics of bird populations in birch forests of Ilmen Nature Reserve during the breeding period individuals / km2,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Birds,13,Roberto Cazzolla Gatti,NA,1
442,48.66874,85.65439,Composition and abundance of bird species in the village Matabay in June 1980-1985 (absolute indicators (area 025 km2)),Montane grasslands and shrublands,Temperate,Terrestrial,Birds,6,Roberto Cazzolla Gatti,NA,1
443,48.83331,85.77318,Composition and abundance of bird species in the village Verhnjaja Elovka in June 1980-1985 (absolute indicators (area 025 km2)),Montane grasslands and shrublands,Temperate,Terrestrial,Birds,4,Roberto Cazzolla Gatti,NA,1
444,52.297299,104.275532,The dynamics of species composition and abundance of migratory birds of prey in the Irkut River mouth (absolute figures),Boreal forests/Taiga,Temperate,Terrestrial,Birds,5,Roberto Cazzolla Gatti,NA,1
445,66.380246,71.778749,A number of waterfowl after periods of breeding and molting in the lower reaches of Ob River (thous. individuals / 22 thous. km2),Large river ecosystems,Temperate,Terrestrial,Birds,3,Roberto Cazzolla Gatti,NA,1
